Data,DOLAR,EGIE3,USIM5
Jan 2015,2.6929,17.595845343,4.2480590953
Fev 2015,2.6894,17.023885942,3.0862725786
Mar 2015,2.8655,17.60663703,3.680468736
Abr 2015,3.1556,19.58691156,4.3544822877
Mai 2015,3.0754,19.964620598,5.7073450004
Jun 2015,3.1789,18.940197981,4.5034519144
Jul 2015,3.1191,18.614111358,3.6473501643
Ago 2015,3.4425,19.548893009,3.5581728987
Set 2015,3.6725,17.938149362,2.7644952346
Out 2015,3.9794,18.18614221,2.7823306877
Nov 2015,3.8126,19.894537387,2.612893883
Dez 2015,3.8745,18.764787086,1.8102984923
Jan 2016,4.0387,18.239819828,1.3019880782
Fev 2016,3.9986,18.909990796,0.85610175006
Mar 2016,3.9913,20.099544263,0.81151311724
Abr 2016,3.5799,20.780884746,1.6235070712
Mai 2016,3.4991,21.110385472,2.2583981046
Jun 2016,3.6126,20.217427257,1.5055987364
Jul 2016,3.2298,21.501788755,1.8865333564
Ago 2016,3.2662,23.687456566,3.4828308119
Set 2016,3.2472,22.944245012,3.1200359357
Out 2016,3.2338,22.5579006,3.2379442704
Nov 2016,3.2053,22.661694621,3.8728353039
Dez 2016,3.4362,20.086134902,3.6460885062
Jan 2017,3.2729,20.461905915,3.7005077377
Fev 2017,3.1479,20.93161968,4.7616827506
Mar 2017,3.0976,21.841690101,4.5440058249
Abr 2017,3.1167,20.837676927,3.9635340229
Mai 2017,3.1724,20.362091739,3.9998135106
Jun 2017,3.2307,19.972858352,3.5372500433
Jul 2017,3.3015,20.535305532,4.2628397958
Ago 2017,3.1161,21.211438843,4.7888923664
Set 2017,3.1333,22.55472006,6.8931026486
Out 2017,3.1642,22.392635283,7.1561289338
Nov 2017,3.2736,22.205614387,7.7003212482
Dez 2017,3.2636,22.411325312,8.0540462525
Jan 2018,3.2697,22.65871894,8.7070770298
Fev 2018,3.173,22.893425715,10.61175013
Mar 2018,3.262,24.936009001,10.702448849
Abr 2018,3.3104,24.41584804,9.9133699933
Mai 2018,3.5424,24.003285825,9.8657324186
Jun 2018,3.7413,24.491819458,8.0529154737
Jul 2018,3.9055,22.316216346,6.5862645786
Ago 2018,3.7491,24.309433568,8.0073673093
Set 2018,4.1279,25.317140884,7.3059255768
Out 2018,4.0273,24.141506912,7.3059255768
Nov 2018,3.6973,27.449686228,9.2189484835
Dez 2018,3.8285,30.32847356,8.9183305981
Jan 2019,3.8595,30.337745529,8.8910016995
Fev 2019,3.6694,37.908852498,8.8967816843
Mar 2019,3.7832,35.865009067,8.9059630895
Abr 2019,3.8682,38.504232975,9.3833961624
Mai 2019,3.965,38.566436906,7.8187469245
Jun 2019,3.9003,41.955700125,7.4023639522
Jul 2019,3.8193,38.740669824,8.2166239869
Ago 2019,3.8296,42.837384334,7.8748431309
Set 2019,4.1581,39.408612407,7.2448556804
Out 2019,4.174,39.577824528,7.1707395097
Nov 2019,3.9786,40.949333299,6.8742748272
Dez 2019,4.2261,41.724146696,8.0416045148
