Data,DOLAR,BRKM5,BBAS3,SLCE3
Jan 2015,2.6929,13.48689217,15.7275264,5.0014612421
Fev 2015,2.6894,9.9621730792,14.026314935,5.2331465791
Mar 2015,2.8655,9.7220273829,16.497575732,4.9941061521
Abr 2015,3.1556,8.5290455367,16.832114552,6.5092547048
Mai 2015,3.0754,11.451959927,18.722806427,6.4542945644
Jun 2015,3.1789,10.4568466,16.504184273,6.2935912255
Jul 2015,3.1191,10.587353266,17.5104748,6.6187351903
Ago 2015,3.4425,9.429106607,16.246681667,6.3496505298
Set 2015,3.6725,11.908733258,12.786230885,5.9684472608
Out 2015,3.9794,14.233383243,11.156404781,6.6149979033
Nov 2015,3.8126,17.528676556,13.004581831,6.9139808594
Dez 2015,3.8745,20.938163201,12.302143258,6.1515743214
Jan 2016,4.0387,22.104566527,10.923878369,6.0245065651
Fev 2016,3.9986,19.200793212,10.862508266,6.0618794346
Mar 2016,3.9913,20.799499869,10.985248472,6.9139808594
Abr 2016,3.5799,19.714663209,15.325230358,6.1665234692
Mai 2016,3.4991,21.009676404,16.705043714,5.9011526232
Jun 2016,3.6126,18.353280537,12.946474112,5.7689792443
Jul 2016,3.2298,16.60247417,13.432375256,5.7495419827
Ago 2016,3.2662,16.464479579,16.300049505,5.9128149802
Set 2016,3.2472,21.199418966,18.122904304,5.5979313422
Out 2016,3.2338,22.312000352,18.606117612,5.5007450341
Nov 2016,3.2053,25.96269494,22.273133079,6.0605381683
Dez 2016,3.4362,24.584786549,21.303479188,5.559056819
Jan 2017,3.2729,30.821635054,22.105781673,5.6990051025
Fev 2017,3.1479,29.198966621,25.091747825,6.5348073515
Mar 2017,3.0976,29.625030399,26.970016856,6.7058552536
Abr 2017,3.1167,28.927011017,27.265399189,6.8807906081
Mai 2017,3.1724,31.211438086,27.281499218,7.6394247075
Jun 2017,3.2307,30.404636462,22.728082429,7.968507618
Jul 2017,3.3015,30.912286922,22.086745472,8.3054258359
Ago 2017,3.1161,33.885668186,23.818242265,8.4229554468
Set 2017,3.1333,34.71966537,26.096186699,8.5796615946
Out 2017,3.1642,38.726477927,28.664886373,9.4499104916
Nov 2017,3.2736,45.833584363,27.885726372,9.1890758581
Dez 2017,3.2636,41.001839809,25.415938449,9.6850892595
Jan 2018,3.2697,40.896212639,27.264610214,11.823078058
Fev 2018,3.173,45.59564063,32.944392361,13.584780828
Mar 2018,3.262,42.863631897,34.856972063,14.713638914
Abr 2018,3.3104,43.441736134,33.583621203,14.50839199
Mai 2018,3.5424,42.493028128,30.054212068,18.100170865
Jun 2018,3.7413,43.514261351,25.754641924,20.31835107
Jul 2018,3.9055,49.641660692,24.761187458,23.861153058
Ago 2018,3.7491,53.405634573,27.777351156,23.129243395
Set 2018,4.1279,57.967142971,24.991371074,28.625301232
Out 2018,4.0273,55.243854375,24.062454923,26.676535626
Nov 2018,3.6973,50.769880253,37.002101898,26.267923483
Dez 2018,3.8285,52.170428674,37.976062343,19.873816981
Jan 2019,3.8595,46.986454311,41.973871009,19.950151117
Fev 2019,3.6694,50.86714056,45.005317249,19.532558488
Mar 2019,3.7832,53.541799003,44.811974342,18.948826855
Abr 2019,3.8682,50.31275681,43.094247189,18.868002475
Mai 2019,3.965,44.817549465,43.611027796,18.920933506
Jun 2019,3.9003,40.071246483,46.013329575,18.478503717
Jul 2019,3.8193,34.070285542,47.748911511,17.132387553
Ago 2019,3.8296,32.698915213,43.202662141,16.83115876
Set 2019,4.1581,27.281516113,40.839614636,16.351075373
Out 2019,4.174,30.85096938,40.409535391,16.765264962
Nov 2019,3.9786,27.87,43.115490931,17.395962746
Dez 2019,4.2261,28.26,42.977287479,18.139621326
