Data,ELET3,SMTO3,CSNA3,BRML3
Jan 2015,4.4497265663,10.503828608,4.335454583,9.2546739742
Fev 2015,4.0566411805,9.7363733008,3.750512298,9.0925219967
Mar 2015,4.017332642,10.598328701,4.4644859694,9.8732537402
Abr 2015,4.67771609,11.110920119,4.9856455847,10.527867278
Mai 2015,5.8884190779,10.996374551,7.7514705142,10.131962478
Jun 2015,5.3852697842,10.260419275,5.7017167639,9.2979289817
Jul 2015,4.6384075514,10.881828983,4.5739046567,8.9766716348
Ago 2015,4.6069607205,9.4753834164,3.8578334776,7.8893390762
Set 2015,3.8207899491,9.0351425253,3.1596640779,6.9255670356
Out 2015,4.0880880114,11.312150047,3.3028783138,6.3139424713
Nov 2015,4.2610455811,13.452128948,4.529150208,7.4136310818
Dez 2015,4.3396626582,14.116863539,4.600757326,8.0376116978
Jan 2016,4.2689072888,12.965240016,3.4550434393,6.7155141549
Fev 2016,4.6541309668,14.25389216,3.3565836522,7.4136310818
Mar 2016,4.4811733971,14.55710443,4.8334804592,8.3094448375
Abr 2016,5.393131492,14.073131,6.4893950609,9.3288191112
Mai 2016,6.2500576328,13.291776306,11.546647763,10.529209543
Jun 2016,6.7374835111,15.236416533,5.7017167639,9.2763058911
Jul 2016,10.055124166,15.495896264,7.8409794115,10.328423702
Ago 2016,13.836605577,15.099335323,9.5595502415,11.388572946
Set 2016,18.011172373,14.872742296,7.8767829705,10.336455135
Out 2016,15.330330042,17.085702765,8.512296142,10.119606426
Nov 2016,18.294193851,18.415833259,9.165711093,9.9589777532
Dez 2016,19.528481962,15.614319475,10.436737435,8.3125338504
Jan 2017,17.688842357,16.976820402,9.7206662568,9.7019718757
Fev 2017,16.493862784,17.939105073,10.436737435,12.047150507
Mar 2017,17.052044032,16.68548651,10.848478363,12.199747747
Abr 2017,13.522137268,15.405383047,8.0289480961,11.597390222
Mai 2017,14.143212177,15.705545239,7.0980555632,11.293626846
Jun 2017,10.377454182,15.617262241,5.9881452355,10.987390457
Jul 2017,9.9057517199,15.149362355,6.5251986199,11.145148597
Ago 2017,10.676199075,15.65341672,6.7489708634,12.268015358
Set 2017,13.875914115,15.707239356,8.2974747883,12.490732732
Out 2017,16.147947645,16.326199674,8.8434790623,13.075365839
Nov 2017,16.313043507,16.658105931,7.3039260272,11.952499078
Dez 2017,14.740701964,15.429155736,6.6505110762,11.553463783
Jan 2018,14.772148795,17.151480097,7.7693722936,11.50706433
Fev 2018,16.037883737,17.043834825,9.95338939,12.342254483
Mar 2018,19.001747545,16.326199674,8.682363047,10.88531166
Abr 2018,16.454554246,15.680328038,8.0020954269,10.616194833
Mai 2018,15.660521766,15.07033816,7.9752427576,9.883083477
Jun 2018,11.910487187,15.787973311,6.9548413274,9.6046867593
Jul 2018,10.267390274,15.94047078,6.9637922171,9.047893324
Ago 2018,13.718679961,17.781447932,8.2616712293,9.3726894946
Set 2018,12.067721341,17.532949436,7.9215374192,8.4632602169
Out 2018,11.674635955,16.704621116,8.3332783472,8.9179748558
Nov 2018,18.868098514,18.214019388,8.6555103778,11.692662141
Dez 2018,19.339800977,17.164803516,8.2169167806,12.239696289
Jan 2019,22.995495064,17.026748796,8.2437694498,12.587822273
Fev 2019,29.560021005,17.597374972,9.0403986366,13.373392163
Mar 2019,28.019126293,17.201618108,12.396982288,12.260501486
Abr 2019,29.284861235,16.925508668,15.144905438,11.713997212
Mai 2019,26.020758673,17.855077116,12.432785847,11.472041718
Jun 2019,28.036621601,17.956317244,15.100675079,12.011568433
Jul 2019,28.592999769,18.287648572,15.955253084,13.365117909
Ago 2019,33.955195157,18.796405305,15.241539585,14.150744529
Set 2019,37.180575842,16.430489613,13.476037772,13.8
Out 2019,31.689365226,17.777097754,12.676807946,14.21
Nov 2019,32.03609365,16.59881563,11.439812314,15.47
Dez 2019,28.369932825,19.357492031,12.734342626,16.18
